Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
30.04.,Pel S.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '2', '4', '3']",[],[],[],1.47
30.04.,Rocens M.,0,,,,,,"['1', '5']","['1', '1', '3', '3']",[],[],[],2.53
05.02.,Pennaforti G.,2,,,,,,"['2', '2', '4', '2', '6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],1.09
05.02.,Rocens M.,0,,,,,,"['2', '1', '4', '5']",[],[],[],[],6.15
13.08.2024,Lopez Morillo I.,2,,,,,,"['1', '0', '5', '2']","['2', '1']",[],[],[],1.20
13.08.2024,Rocens M.,0,,,,,,[],[],[],[],[],4.17
25.07.2024,Gill F.,2,,,,,,"['3', '2', '5', '2']","['4', '3']",[],[],[],1.12
25.07.2024,Rocens M.,0,,,,,,[],[],[],[],[],5.67
24.07.2024,Rodenas P.,1,,,,,,[],"['1', '1', '3', '1']",[],[],[],1.33
24.07.2024,Rocens M.,1,,,,,,[],"['1', '0', '2', '3', '4', '3']",[],[],[],3.12
17.07.2024,Iamachkine P.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0']",[],[],[],3.59
17.07.2024,Rocens M.,0,,,,,,[],"['3', '5']",[],[],[],1.26
30.05.2024,Kuhn N.,2,,,,,,"['2', '3', '5', '4']",[],[],[],[],1.04
30.05.2024,Rocens M.,0,,,,,,"['2', '0']",[],[],[],[],9.35
29.05.2024,Rocens M.,2,,,,,,"['3', '1', '6', '2']","['2', '2']","['2', '2', '4', '2', '6', '2']",[],[],-
29.05.2024,Perez Sanz D.,1,,,,,,[],"['2', '1', '6', '5']","['2', '1']",[],[],-
13.03.2024,Melero K. A.,2,,,,,,"['1', '2']","['3', '2']","['1', '0', '5', '2']",[],[],1.60
13.03.2024,Rocens M.,1,,,,,,"['2', '0', '7', '5']",[],[],[],[],2.24
02.02.2024,Ruud C.,2,,,,,,"['2', '0', '5', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.01
02.02.2024,Rocens M.,0,,,,,,[],[],[],[],[],28.00
14.12.2023,Perez Sanz D.,2,,,,,,"['4', '3', '6', '3']","['2', '0', '6', '2']",[],[],[],-
14.12.2023,Rocens M.,0,,,,,,[],[],[],[],[],-
13.12.2023,Rocens M.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '2', '4', '4', '5', '5', '7', '5']",[],[],[],1.44
13.12.2023,Misasi G.,0,,,,,,[],"['1', '0', '4', '3', '5', '4']",[],[],[],2.65
22.11.2023,Rodenas P.,2,,,,,,"['2', '3', '5', '4']","['4', '3', '6', '3']",[],[],[],1.18
22.11.2023,Rocens M.,0,,,,,,"['2', '0']",[],[],[],[],4.42
16.09.2023,Wong C.,2,,,,,,"['4', '3']","['1', '0', '5', '2']",[],[],[],1.04
16.09.2023,Rocens M.,0,,,,,,[],[],[],[],[],7.50
03.08.2022,Angele J. F.,2,,,,,,"['1', '0', '3', '0']","['3', '2']",[],[],[],1.14
03.08.2022,Rocens M.,0,,,,,,"['3', '5']","['5', '5']",[],[],[],5.15
27.07.2022,Quinn E.,2,,,,,,"['4', '3']","['1', '0', '3', '2', '5', '4']",[],[],[],-
27.07.2022,Rocens M.,0,,,,,,[],"['2', '2', '4', '4', '5', '5']",[],[],[],-
15.06.2022,Dhokia R.,2,,,,,,"['4', '4']",[],"['1', '0']",[],[],2.65
15.06.2022,Rocens M.,1,,,,,,"['1', '0']","['6', '4']",[],[],[],1.46
02.06.2022,Rai A.,2,,,,,,"['1', '0', '3', '0']","['3', '2', '5', '2']",[],[],[],1.43
02.06.2022,Rocens M.,0,,,,,,[],[],[],[],[],2.78
01.06.2022,Rocens M.,2,,,,,,"['7', '5']","['4', '2']",[],[],[],5.35
01.06.2022,Harper M.,0,,,,,,[],[],[],[],[],1.15
05.12.2019,Findel-Hawkins J.,2,,,,,,"['4', '2', '5', '3']","['2', '1', '4', '1', '6', '1']",[],[],[],1.02
05.12.2019,Rocens M.,0,,,,,,"['3', '4']",[],[],[],[],13.00
04.12.2019,Rocens M.,2,,,,,,"['1', '0', '3', '2']","['2', '2', '3', '3']","['2', '1', '4', '1']",[],[],2.25
04.12.2019,Segura M.,1,,,,,,"['1', '1']","['2', '1', '3', '2', '4', '3', '6', '3']",[],[],[],1.63
08.05.2019,Musialek A.,2,,,,,,"['2', '2', '5', '3']","['3', '2', '5', '2']",[],[],[],1.39
08.05.2019,Rocens M.,0,,,,,,"['1', '0']",[],[],[],[],2.81
02.10.2018,Barranco Cosano J.,2,,,,,,[],[],[],[],[],1.02
02.10.2018,Rocens M.,0,,,,,,[],[],[],[],[],11.50
06.04.2018,Rocens M.,2,,,,,,"['3', '3', '5', '3']","['1', '0', '3', '0', '6', '1']",[],[],[],-
06.04.2018,Asatryan T.,0,,,,,,"['3', '2']",[],[],[],[],-
