Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,122/79,7/5,98/69,-,-,17/5
2023,54/25,-,41/21,-,-,13/4
2022,20/15,-,16/14,-,-,4/1
2021,13/10,-,13/10,-,-,-
2019,21/17,-,21/17,-,-,-
2017,5/3,2/1,3/2,-,-,-
2016,4/5,2/2,2/3,-,-,-
2015,2/1,-,2/1,-,-,-
2014,3/2,3/2,-,-,-,-
2012,0/1,-,0/1,-,-,-
