Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,73/57,1/2,68/55,-,-,4/0
2024,22/20,1/2,21/18,-,-,-
2023,38/28,-,34/28,-,-,4/0
2022,13/9,-,13/9,-,-,-
