Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,179/157,163/145,-,-,-,16/12
2024,40/17,40/17,-,-,-,-
2023,29/31,13/19,-,-,-,16/12
2022,36/20,36/20,-,-,-,-
2021,25/16,25/16,-,-,-,-
2020,6/9,6/9,-,-,-,-
2019,7/13,7/13,-,-,-,-
2018,23/21,23/21,-,-,-,-
2017,8/16,8/16,-,-,-,-
2016,5/14,5/14,-,-,-,-
