Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  US Open (USA),hard,header
08.08. 23:05,Navarro E.,2,6,6,,,,1,4,36%,70% (14/20),63% (22/35),50% (2/4),34% (15/44),77% (20/26),50% (5/10),7,65% (36/55),50% (35/70),57% (71/125),3,78% (7/9),56% (5/9),67% (12/18),"['1', '0', '4', '1']","['2', '1', '3', '2', '4', '3']",[],[],[],1.33
08.08. 23:05,Linette M.,0,2,4,,,,3,1,63%,66% (29/44),23% (6/26),50% (5/10),30% (6/20),37% (13/35),50% (2/4),5,50% (35/70),35% (19/55),43% (54/125),1,44% (4/9),22% (2/9),33% (6/18),[],"['2', '2', '3', '3']",[],[],[],3.39
WTA - SINGLES :  Olympic Games (World),clay,header
30.07. 15:40,Navarro E.,1,7^9,6^4,1,,,3,3,58%,48% (35/73),50% (26/52),61% (11/18),34% (20/59),56% (25/45),36% (4/11),22,36,86% (6/7),6,49% (61/125),43% (44/103),46% (106/228),3,56% (9/16),27% (4/15),42% (13/31),"['5', '5']","['1', '0', '4', '3', '6', '5']",[],[],[],2.40
30.07. 15:40,Zheng Q.,2,6^7,7^7,6,,,12,6,57%,66% (39/59),44% (20/45),64% (7/11),52% (38/73),50% (26/52),39% (7/18),45,49,67% (18/27),6,57% (59/103),51% (64/125),54% (123/228),6,73% (11/15),44% (7/16),58% (18/31),"['4', '3']","['3', '3', '5', '5', '6', '6']","['1', '0', '3', '0', '6', '1']",[],[],1.59
29.07. 18:05,Navarro E.,2,6^5,6,6,,,1,3,70%,63% (36/57),63% (15/24),0% (0/4),43% (36/84),61% (20/33),50% (8/16),38,30,57% (12/21),8,61% (51/84),50% (62/124),54% (112/208),6,71% (10/14),53% (8/15),62% (18/29),"['2', '2', '5', '5']","['3', '2', '4', '3']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],1.21
29.07. 18:05,Tomova V.,1,7^7,4,1,,,0,5,72%,57% (48/84),39% (13/33),50% (8/16),37% (21/57),38% (9/24),100% (4/4),22,41,71% (5/7),5,50% (62/124),39% (33/84),45% (94/208),3,47% (7/15),29% (4/14),38% (11/29),"['2', '1', '5', '4']","['3', '3']","['1', '5']",[],[],4.54
28.07. 22:30,Navarro E.,2,6,6,,,,1,3,53%,69% (18/26),57% (13/23),67% (2/3),65% (20/31),69% (9/13),67% (6/9),11,15,80% (8/10),6,64% (30/47),67% (30/45),65% (60/92),9,86% (6/7),86% (6/7),86% (12/14),"['3', '1', '4', '2', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],1.01
28.07. 22:30,Grabher J.,0,2,0,,,,1,3,70%,35% (11/31),31% (4/13),33% (3/9),31% (8/26),43% (10/23),33% (1/3),7,34,33% (1/3),4,33% (15/45),36% (17/47),35% (32/92),1,14% (1/7),14% (1/7),14% (2/14),"['2', '3']",[],[],[],[],9.35
WTA - SINGLES :  Wimbledon (United Kingdom),grass,header
