Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,26/21,-,11/14,7/5,-,8/2
2024,7/6,-,6/5,1/1,-,-
2023,11/5,-,2/3,3/2,-,6/0
2022,2/2,-,-,-,-,2/2
2021,2/4,-,2/4,-,-,-
2017,4/4,-,1/2,3/2,-,-
