Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,413/337,243/200,136/113,29/19,3/4,2/1
2024,0/2,0/2,-,-,-,-
2023,31/26,25/21,4/4,-,-,2/1
2022,36/29,31/23,3/4,2/2,-,-
2021,32/22,24/18,-,8/4,-,-
2020,29/21,9/6,20/15,-,-,-
2019,32/25,15/7,14/16,3/2,-,-
2018,25/22,9/12,16/10,-,-,-
2017,24/29,24/29,-,-,-,-
2016,36/34,29/27,7/7,-,-,-
2015,28/24,12/7,14/13,2/2,0/2,-
2014,22/25,19/20,1/3,2/2,-,-
2013,34/31,18/13,14/14,1/3,1/1,-
2012,28/19,6/5,19/11,3/3,-,-
2011,26/19,4/5,14/13,8/1,-,-
2010,10/4,4/1,4/2,-,2/1,-
2009,20/5,14/4,6/1,-,-,-
