Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,149/105,29/36,116/65,4/4,-,-
2024,18/18,8/9,10/8,0/1,-,-
2023,35/23,3/4,32/19,-,-,-
2022,29/23,2/5,27/17,0/1,-,-
2021,32/14,2/4,26/8,4/2,-,-
2020,4/3,0/1,4/2,-,-,-
2019,14/13,3/4,11/9,-,-,-
2018,13/8,9/7,4/1,-,-,-
2017,2/2,2/2,-,-,-,-
2016,2/1,-,2/1,-,-,-
