Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,27/25,-,9/5,5/2,-,13/18
2024,13/6,-,8/4,5/2,-,-
2023,9/10,-,-,-,-,9/10
2022,5/9,-,1/1,-,-,4/8
