Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,32/20,-,16/9,9/5,1/6,6/0
2024,20/8,-,13/5,1/1,0/2,6/0
2023,8/6,-,2/3,5/1,1/2,-
2022,4/6,-,1/1,3/3,0/2,-
