Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,225/167,111/75,97/82,-,17/10,-
2024,17/16,15/11,2/5,-,-,-
2023,23/20,7/9,12/9,-,4/2,-
2022,50/28,22/16,25/11,-,3/1,-
2021,21/11,10/8,11/3,-,-,-
2020,3/6,-,3/6,-,-,-
2019,32/27,28/14,4/13,-,-,-
2018,37/28,16/5,16/19,-,5/4,-
2017,15/15,5/6,10/9,-,-,-
2016,18/10,0/2,13/5,-,5/3,-
2015,8/2,8/2,-,-,-,-
2014,1/4,0/2,1/2,-,-,-
