Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,143/129,107/91,36/38,-,-,-
2023,1/1,-,1/1,-,-,-
2022,1/2,0/1,1/1,-,-,-
2019,2/3,2/3,-,-,-,-
2018,37/30,33/26,4/4,-,-,-
2017,21/28,20/25,1/3,-,-,-
2016,35/32,27/23,8/9,-,-,-
2015,26/18,12/7,14/11,-,-,-
2014,19/12,13/6,6/6,-,-,-
2013,1/3,-,1/3,-,-,-
