Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.03.,Shin W.,2,,,,,,"['2', '1', '6', '3']","['6', '4']",[],[],[],1.26
20.03.,Vardhan V.,0,,,,,,[],[],[],[],[],3.54
19.03.,Vardhan V.,2,,,,,,"['5', '5']","['4', '3']",[],[],[],1.81
19.03.,Vujic S.,0,,,,,,"['4', '3']",[],[],[],[],1.89
13.03.,Eqbal I.,2,,,,,,"['4', '2']","['2', '1', '4', '1']",[],[],[],1.91
13.03.,Vardhan V.,0,,,,,,[],[],[],[],[],1.79
12.03.,Vardhan V.,2,,,,,,[],[],"['4', '2']",[],[],1.17
12.03.,Malik A.,1,,,,,,[],[],[],[],[],4.53
08.01.,Vanshelboim E.,2,,,,,,[],"['2', '0', '4', '0']","['3', '2', '5', '2']",[],[],1.33
08.01.,Vardhan V.,1,,,,,,[],[],[],[],[],3.09
02.01.,Gray A.,2,,,,,,"['3', '2', '5', '4']","['4', '3', '6', '3']",[],[],[],1.22
02.01.,Vardhan V.,0,,,,,,"['4', '4']",[],[],[],[],3.91
01.01.,Vardhan V.,2,,,,,,[],[],[],[],[],2.94
01.01.,Palan D.,0,,,,,,[],[],[],[],[],1.36
20.11.2024,Sultanov K.,2,,,,,,[],"['1', '0', '4', '1', '6', '1']",[],[],[],1.07
20.11.2024,Vardhan V.,0,,,,,,[],[],[],[],[],7.21
15.11.2024,Singh K.,2,,,,,,[],"['1', '0', '4', '1']",[],[],[],1.26
15.11.2024,Vardhan V.,0,,,,,,[],[],[],[],[],3.35
14.11.2024,Vardhan V.,0,,,,,,[],[],[],[],[],4.09
14.11.2024,Sasikumar M.,0,,,,,,[],[],[],[],[],1.21
13.11.2024,Vardhan V.,2,,,,,,"['2', '1', '4', '1']",[],"['5', '3']",[],[],1.82
13.11.2024,Eqbal I.,1,,,,,,"['2', '4']","['3', '1']",[],[],[],1.88
06.11.2024,Sinha N. K.,2,,,,,,"['2', '1', '4', '1']","['2', '1', '6', '3']",[],[],[],2.32
06.11.2024,Vardhan V.,0,,,,,,"['3', '5']",[],[],[],[],1.55
06.09.2024,Rawat S.,2,,,,,,"['2', '3']","['3', '3', '5', '3']",[],[],[],1.53
06.09.2024,Vardhan V.,0,,,,,,"['2', '0']","['1', '0']",[],[],[],2.39
05.09.2024,Vardhan V.,2,,,,,,"['6', '4']",[],[],[],[],2.22
05.09.2024,Mokrov A.,0,,,,,,[],[],[],[],[],1.61
04.09.2024,Vardhan V.,2,,,,,,[],"['2', '0']",[],[],[],1.40
04.09.2024,Ambarzumjan E.,0,,,,,,[],[],[],[],[],2.79
22.08.2024,Borg L.,2,,,,,,"['5', '4']",[],[],[],[],1.41
22.08.2024,Vardhan V.,1,,,,,,[],[],[],[],[],2.75
21.08.2024,Vardhan V.,2,,,,,,[],"['4', '3', '6', '3']",[],[],[],1.86
21.08.2024,Court J.,0,,,,,,[],[],[],[],[],1.86
26.10.2023,Kaliyanda Poonacha N.,2,,,,,,[],[],[],[],[],1.59
26.10.2023,Vardhan V.,0,,,,,,[],[],[],[],[],2.25
25.10.2023,Vardhan V.,2,,,,,,[],[],[],[],[],-
25.10.2023,Qamar F.,0,,,,,,[],[],[],[],[],-
10.10.2023,Bax F.,2,,,,,,[],[],[],[],[],1.07
10.10.2023,Vardhan V.,0,,,,,,[],[],[],[],[],7.03
15.06.2023,Dzhavakian Y.,2,,,,,,[],[],[],[],[],-
15.06.2023,Vardhan V.,0,,,,,,[],[],[],[],[],-
14.06.2023,Vardhan V.,2,,,,,,[],[],[],[],[],1.29
14.06.2023,Cook E.,1,,,,,,[],[],[],[],[],3.34
