Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,402/263,27/29,353/215,7/9,14/9,1/1
2024,20/11,-,20/11,-,-,-
2023,9/9,-,9/9,-,-,-
2022,8/8,-,8/8,-,-,-
2021,11/4,-,11/4,-,-,-
2020,0/1,0/1,-,-,-,-
2019,0/1,0/1,-,-,-,-
2018,5/10,2/3,2/3,1/3,0/1,-
2017,39/24,5/2,34/22,-,-,-
2016,33/15,-,33/15,-,-,-
2015,36/19,6/2,26/16,4/1,-,-
2014,18/15,1/2,17/13,-,-,-
2013,20/16,1/5,19/11,-,-,-
2012,33/18,1/1,30/15,1/1,0/1,1/0
2011,44/20,0/2,40/14,0/1,4/2,0/1
2010,37/19,-,26/11,1/3,10/5,-
2009,40/17,2/1,38/16,-,-,-
2008,21/19,7/4,14/15,-,-,-
2007,8/15,2/5,6/10,-,-,-
2006,8/13,-,8/13,-,-,-
2005,5/4,-,5/4,-,-,-
2004,6/2,-,6/2,-,-,-
2003,1/3,-,1/3,-,-,-
