Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,340/266,150/129,136/87,54/50,-,-
2024,30/16,19/8,11/8,-,-,-
2023,38/27,8/9,29/17,1/1,-,-
2022,28/27,10/14,18/13,-,-,-
2021,31/21,11/6,19/14,1/1,-,-
2020,14/9,4/6,-,10/3,-,-
2019,9/14,6/10,3/2,0/2,-,-
2018,46/27,20/16,13/5,13/6,-,-
2017,21/26,16/13,2/3,3/10,-,-
2016,33/27,12/11,18/10,3/6,-,-
2015,26/21,3/4,17/12,6/5,-,-
2014,32/19,23/13,1/1,8/5,-,-
2013,13/14,11/9,-,2/5,-,-
2012,13/11,4/5,5/2,4/4,-,-
2011,6/6,3/4,-,3/2,-,-
2010,0/1,0/1,-,-,-,-
