Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,385/293,42/41,245/165,68/57,17/13,13/17
2024,15/24,2/5,7/14,5/4,1/1,-
2023,35/37,16/15,13/12,6/8,0/2,-
2022,45/30,3/5,27/14,13/8,2/3,-
2021,26/10,5/0,9/6,12/4,-,-
2020,2/2,-,2/1,-,-,0/1
2019,21/13,2/2,15/8,3/2,-,1/1
2018,19/12,3/2,15/8,0/2,-,1/0
2017,18/14,2/1,13/10,1/1,1/1,1/1
2016,38/27,1/1,23/17,4/3,9/3,1/3
2015,27/25,0/5,20/10,5/7,0/1,2/2
2014,32/22,8/5,22/10,0/5,-,2/2
2013,31/19,-,18/11,7/5,4/2,2/1
2012,27/15,-,18/10,8/3,-,1/2
2011,28/23,-,24/16,3/4,-,1/3
2010,16/11,-,14/9,1/1,-,1/1
2009,4/7,-,4/7,-,-,-
2008,1/2,-,1/2,-,-,-
