https://www.tennisexplorer.com/res/img/default-avatar.jpg
Basile Alessio
Country: Belgium
Age: 20 (7. 8. 2004)
Current/Highest rank - singles: 1295. / 1159.
Current/Highest rank - doubles: 1177. / 901.
Sex: man
Plays: right
