Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,471/379,180/146,140/113,122/88,29/31,0/1
2024,18/21,3/7,7/6,5/4,3/4,-
2023,27/27,10/7,12/13,1/2,4/5,-
2022,22/28,2/4,13/14,4/5,3/4,0/1
2021,41/27,2/6,20/11,11/7,8/3,-
2020,27/18,13/8,7/5,7/5,-,-
2019,47/27,16/11,11/6,15/7,5/3,-
2018,36/35,11/12,13/11,11/8,1/4,-
2017,34/31,11/8,15/12,4/7,4/4,-
2016,29/32,11/13,9/9,8/7,1/3,-
2015,38/31,20/13,5/5,13/12,0/1,-
2014,36/28,18/16,10/5,8/7,-,-
2013,36/27,16/9,16/15,4/3,-,-
2012,32/19,20/13,-,12/6,-,-
2011,37/20,16/11,2/1,19/8,-,-
2010,11/8,11/8,-,-,-,-
