Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,86/65,53/35,14/9,19/21,-,-
2024,11/9,0/1,3/4,8/4,-,-
2023,26/14,15/7,11/5,0/2,-,-
2022,7/5,4/2,-,3/3,-,-
2021,10/6,9/5,-,1/1,-,-
2020,7/4,2/1,-,5/3,-,-
2019,5/14,5/12,-,0/2,-,-
2018,20/12,18/6,-,2/6,-,-
2017,0/1,0/1,-,-,-,-
