Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,43/33,21/23,22/10,-,-,-
2024,24/21,7/13,17/8,-,-,-
2023,19/11,14/9,5/2,-,-,-
2022,0/1,0/1,-,-,-,-
