Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,73/72,47/47,26/25,-,-,-
2024,33/19,16/9,17/10,-,-,-
2023,16/19,12/14,4/5,-,-,-
2022,15/20,13/14,2/6,-,-,-
2021,6/8,3/5,3/3,-,-,-
2018,3/6,3/5,0/1,-,-,-
