Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,195/144,15/12,157/110,20/19,3/3,-
2024,3/1,-,-,3/1,-,-
2023,1/2,-,1/2,-,-,-
2022,0/1,-,0/1,-,-,-
2019,8/7,-,8/7,-,-,-
2018,14/13,-,14/11,0/2,-,-
2017,28/14,-,28/14,-,-,-
2016,26/16,4/4,19/10,3/2,-,-
2015,23/18,4/2,15/13,4/3,-,-
2014,14/15,4/2,9/12,1/1,-,-
2013,18/12,2/1,16/9,0/2,-,-
2012,13/8,0/1,13/5,0/2,-,-
2011,4/2,-,0/1,4/1,-,-
2010,10/4,-,7/3,3/1,-,-
2009,10/10,-,9/8,1/2,-,-
2008,7/5,-,6/4,-,1/1,-
2007,8/8,-,6/5,0/1,2/2,-
2006,5/5,1/2,3/2,1/1,-,-
2005,3/2,-,3/2,-,-,-
2004,0/1,-,0/1,-,-,-
