Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,553/426,197/127,259/198,50/53,36/42,11/6
2024,12/16,3/5,9/8,-,0/3,-
2023,31/23,7/4,21/14,0/2,3/3,-
2022,22/21,4/6,10/10,4/2,4/3,-
2021,24/18,11/3,11/10,0/2,2/3,-
2020,15/10,0/2,14/6,1/2,-,-
2019,21/22,7/8,9/10,5/3,0/1,-
2018,17/25,5/6,10/13,0/3,1/3,1/0
2017,31/27,9/6,16/11,2/5,4/3,0/2
2016,46/23,24/9,12/6,5/5,5/3,-
2015,11/18,8/11,2/4,0/2,1/1,-
2014,17/25,2/5,11/18,-,0/1,4/1
2013,34/27,5/6,24/16,0/1,3/3,2/1
2012,30/28,6/6,21/16,1/2,2/4,-
2011,42/24,18/7,10/10,12/4,2/3,-
2010,29/32,8/9,14/13,6/8,1/2,-
2009,22/26,10/7,8/12,0/3,3/2,1/2
2008,44/23,24/12,10/6,3/2,4/3,3/0
2007,50/20,22/6,20/8,7/5,1/1,-
2006,34/9,12/2,18/5,4/2,-,-
2005,15/6,6/4,9/2,-,-,-
2004,6/3,6/3,-,-,-,-
