Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,75/54,75/54,-,-,-,-
2024,23/17,23/17,-,-,-,-
2023,41/25,41/25,-,-,-,-
2022,8/8,8/8,-,-,-,-
2021,3/4,3/4,-,-,-,-
