Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,22/10,-,8/8,-,-,14/2
2024,11/3,-,7/2,-,-,4/1
2023,2/0,-,-,-,-,2/0
2022,3/4,-,0/3,-,-,3/1
2021,6/3,-,1/3,-,-,5/0
