Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,38/35,-,24/16,9/10,5/9,-
2024,11/9,-,8/5,-,3/4,-
2023,10/10,-,7/6,1/1,2/3,-
2022,8/3,-,8/3,-,-,-
2021,0/1,-,-,-,0/1,-
2020,8/6,-,-,8/6,-,-
2019,1/5,-,1/2,0/2,0/1,-
2018,0/1,-,-,0/1,-,-
