Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,114/106,80/76,27/26,3/3,-,4/1
2024,20/27,10/19,6/6,0/1,-,4/1
2023,19/17,14/11,4/5,1/1,-,-
2022,18/14,10/8,6/5,2/1,-,-
2021,13/8,10/6,3/2,-,-,-
2020,4/3,4/2,0/1,-,-,-
2019,20/22,15/16,5/6,-,-,-
2018,15/10,15/10,-,-,-,-
2017,0/2,0/2,-,-,-,-
2016,5/3,2/2,3/1,-,-,-
