Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
03.08.,Vanshelboim E.,2,,,,,,0,3,73%,59% (41/70),50% (13/26),64% (9/14),43% (28/65),54% (20/37),42% (5/12),17,32,74% (14/19),56% (54/96),47% (48/102),52% (102/198),6,0,58% (7/12),42% (5/12),50% (12/24),"['3', '5', '5', '5']","['1', '2', '4', '5', '6', '5']",[],[],[],1.85
03.08.,Miletich I.,0,,,,,,3,4,64%,57% (37/65),46% (17/37),58% (7/12),41% (29/70),50% (13/26),36% (5/14),29,56,66% (25/38),53% (54/102),44% (42/96),48% (96/198),4,3,58% (7/12),42% (5/12),50% (12/24),"['3', '2', '5', '2']","['2', '0', '5', '3', '6', '6']",[],[],[],1.87
24.07.,Sanchez Izquierdo N.,2,,,,,,[],"['4', '4', '6', '4']","['3', '1', '6', '2']",[],[],1.19
24.07.,Miletich I.,1,,,,,,"['1', '0', '3', '0']","['2', '1']",[],[],[],4.19
23.07.,Miletich I.,2,,,,,,"['1', '2', '4', '3', '6', '5']","['2', '0', '4', '0']",[],[],[],3.46
23.07.,Santamarta Roig A.,0,,,,,,"['2', '0', '5', '5', '6', '6']",[],[],[],[],1.27
10.07.,Fomin S.,2,,,,,,[],"['5', '3']","['5', '4']",[],[],1.27
10.07.,Miletich I.,1,,,,,,"['1', '0', '3', '0']",[],[],[],[],3.46
09.07.,Miletich I.,2,,,,,,[],[],"['1', '2', '3', '2', '6', '5']",[],[],3.46
09.07.,Planinsek F. J.,1,,,,,,"['1', '0', '5', '2']",[],"['2', '0', '4', '4']",[],[],1.27
24.06.,Braynin A.,2,,,,,,[],"['2', '0', '7', '5']","['2', '0', '7', '5']",[],[],2.24
24.06.,Miletich I.,1,,,,,,"['2', '1']","['4', '5']","['4', '5']",[],[],1.59
19.06.,Picchione A.,2,,,,,,"['2', '1', '4', '3']","['1', '2', '3', '2', '6', '3']",[],[],[],1.30
19.06.,Miletich I.,0,,,,,,"['2', '2']","['2', '0']",[],[],[],3.30
17.06.,Miletich I.,2,,,,,,"['3', '3', '7', '5']",[],"['5', '3']",[],[],1.30
