Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,445/296,174/114,171/114,50/36,38/26,12/6
2024,36/26,10/9,23/12,0/1,2/4,1/0
2023,39/32,10/5,23/21,0/1,6/4,0/1
2022,40/37,13/11,22/19,1/1,4/4,0/2
2021,36/19,16/8,12/5,5/4,3/2,-
2020,39/15,16/8,12/5,4/2,-,7/0
2019,39/24,12/8,22/12,1/1,3/3,1/0
2018,30/32,9/9,4/11,13/7,2/3,2/2
2017,52/25,25/8,15/10,8/5,4/2,-
2016,48/28,22/14,15/8,5/4,5/1,1/1
2015,27/17,13/7,4/4,5/4,5/2,-
2014,31/21,11/13,14/4,2/3,4/1,-
2013,15/11,7/8,2/1,6/2,-,-
2012,13/9,10/6,3/2,0/1,-,-
