Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Beijing (China),hard,header
27.09. 16:35,Frech M.,2,6,5,6,,,2,6,58%,71% (49/69),37% (19/51),76% (13/17),27% (15/56),57% (26/46),42% (5/12),7,57% (68/120),40% (41/102),49% (109/222),5,75% (12/16),31% (5/16),53% (17/32),"['3', '4', '5', '4']","['2', '3', '3', '4']","['1', '0']",[],[],1.32
27.09. 16:35,Parks A.,1,4,7,4,,,9,11,55%,73% (41/56),43% (20/46),58% (7/12),29% (20/69),63% (32/51),24% (4/17),6,60% (61/102),43% (52/120),51% (113/222),3,69% (11/16),25% (4/16),47% (15/32),"['2', '0']","['2', '0', '4', '2', '7', '5']",[],[],[],3.42
WTA - SINGLES :  Guadalajara (Mexico),hard,header
16.09. 05:10,Frech M.,2,7^7,6,,,,4,1,64%,68% (30/44),60% (15/25),50% (2/4),33% (15/45),62% (21/34),60% (3/5),5,65% (45/69),46% (36/79),55% (81/148),3,82% (9/11),27% (3/11),55% (12/22),[],"['2', '2', '5', '3', '6', '4']",[],[],[],1.76
16.09. 05:10,Gadecki O.,0,6^5,4,,,,2,4,57%,67% (30/45),38% (13/34),40% (2/5),32% (14/44),40% (10/25),50% (2/4),6,54% (43/79),35% (24/69),45% (67/148),2,73% (8/11),18% (2/11),45% (10/22),[],"['1', '0', '4', '5']",[],[],[],2.09
15.09. 06:40,Frech M.,2,7^7,7,,,,1,7,62%,67% (37/55),44% (15/34),67% (8/12),33% (19/58),77% (24/31),42% (5/12),9,58% (52/89),48% (43/89),53% (95/178),3,67% (8/12),42% (5/12),54% (13/24),"['4', '5']","['1', '3', '3', '3', '4', '4', '7', '5']",[],[],[],1.74
15.09. 06:40,Garcia C.,0,6^4,5,,,,7,6,65%,67% (39/58),23% (7/31),58% (7/12),33% (18/55),56% (19/34),33% (4/12),8,52% (46/89),42% (37/89),47% (83/178),3,58% (7/12),33% (4/12),46% (11/24),"['2', '0']","['1', '0', '3', '0', '4', '3']",[],[],[],2.10
14.09. 05:40,Frech M.,2,6,6,,,,2,1,56%,73% (29/40),52% (16/31),83% (5/6),33% (14/43),65% (15/23),33% (3/9),6,63% (45/71),44% (29/66),54% (74/137),3,90% (9/10),33% (3/9),63% (12/19),"['1', '1', '6', '4']","['3', '1']",[],[],[],1.50
14.09. 05:40,Stakusic M.,0,4,3,,,,0,2,65%,67% (29/43),35% (8/23),67% (6/9),28% (11/40),48% (15/31),17% (1/6),6,56% (37/66),37% (26/71),46% (63/137),1,67% (6/9),10% (1/10),37% (7/19),"['1', '0']",[],[],[],[],2.63
13.09. 09:05,Frech M.,2,3,6,6,,,3,7,56%,67% (28/42),45% (15/33),33% (2/6),39% (19/49),67% (26/39),64% (7/11),5,57% (43/75),51% (45/88),54% (88/163),6,67% (8/12),54% (7/13),60% (15/25),"['1', '0', '2', '5']","['2', '0', '3', '1']","['2', '1', '4', '1', '6', '1']",[],[],2.78
