Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,148/67,113/50,31/15,-,0/1,4/1
2024,41/17,30/8,11/8,-,0/1,-
2023,57/23,54/21,3/2,-,-,-
2022,35/13,21/12,10/0,-,-,4/1
2021,5/5,2/4,3/1,-,-,-
2020,4/4,-,4/4,-,-,-
2019,5/3,5/3,-,-,-,-
2018,1/2,1/2,-,-,-,-
