Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,410/274,163/119,212/121,35/33,0/1,-
2024,31/28,16/13,7/9,8/5,0/1,-
2023,59/37,23/20,24/9,12/8,-,-
2022,27/31,17/13,5/11,5/7,-,-
2021,35/28,13/11,17/13,5/4,-,-
2020,39/21,5/7,34/13,0/1,-,-
2019,17/19,6/6,11/13,-,-,-
2018,39/21,12/5,27/16,-,-,-
2017,43/21,9/7,34/12,0/2,-,-
2016,32/21,5/8,25/10,2/3,-,-
2015,26/10,11/2,15/8,-,-,-
2014,4/4,-,1/1,3/3,-,-
2013,11/5,11/5,-,-,-,-
2012,12/4,9/2,3/2,-,-,-
2010,18/7,9/4,9/3,-,-,-
2009,9/8,9/8,-,-,-,-
2008,5/4,5/3,0/1,-,-,-
2007,3/5,3/5,-,-,-,-
