Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
25.06.,Timini A.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '4', '3', '6', '3']",[],[],[],1.18
25.06.,Jaisinghani R.,0,,,,,,[],"['3', '3']",[],[],[],4.47
03.04.,Eqbal I.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.13
03.04.,Jaisinghani R.,0,,,,,,[],[],[],[],[],5.05
02.04.,Jaisinghani R.,2,,,,,,[],"['3', '3', '5', '3']","['1', '0', '4', '1']",[],[],11.00
02.04.,Binda A.,1,,,,,,"['2', '1', '4', '1']","['1', '0']","['3', '5']",[],[],1.01
01.01.,Agafonov E.,2,,,,,,"['4', '4', '7', '5']","['4', '2']",[],[],[],1.06
01.01.,Jaisinghani R.,0,,,,,,"['2', '1']","['3', '4']",[],[],[],7.40
20.11.2024,Sinha N. K.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '2']",[],[],[],1.18
20.11.2024,Jaisinghani R.,0,,,,,,"['1', '4']","['1', '1']",[],[],[],4.43
06.11.2024,Senthil Kumar R. P.,2,,,,,,"['2', '2', '4', '2', '5', '3']","['2', '1', '4', '1', '5', '2']",[],[],[],-
06.11.2024,Jaisinghani R.,0,,,,,,"['1', '0', '3', '4']","['2', '4']",[],[],[],-
16.10.2024,Karthik P.,2,,,,,,[],"['2', '2', '4', '4', '6', '4']","['2', '0', '5', '1']",[],[],2.47
16.10.2024,Jaisinghani R.,1,,,,,,"['2', '0', '5', '1']","['1', '0', '4', '3']",[],[],[],1.49
19.09.2024,Yazdani A.,2,,,,,,"['5', '3']","['2', '1', '5', '2']",[],[],[],1.70
19.09.2024,Jaisinghani R.,0,,,,,,[],[],[],[],[],2.07
18.09.2024,Jaisinghani R.,2,,,,,,"['1', '0', '3', '2']","['1', '0', '3', '2']",[],[],[],-
18.09.2024,Shymanovich A.,0,,,,,,"['1', '1']","['2', '2']",[],[],[],-
11.09.2024,Tremblay D.,2,,,,,,[],"['5', '3']","['1', '0', '4', '3', '6', '3']",[],[],2.18
11.09.2024,Jaisinghani R.,1,,,,,,"['6', '5']",[],"['2', '2']",[],[],1.63
08.08.2024,Singh K.,2,,,,,,"['4', '2', '5', '3', '6', '4']","['5', '5']","['1', '0', '3', '0', '5', '0']",[],[],1.15
08.08.2024,Jaisinghani R.,1,,,,,,"['3', '4', '4', '5']","['1', '0']",[],[],[],4.98
07.08.2024,Jaisinghani R.,2,,,,,,"['4', '5']","['2', '0', '4', '2']",[],[],[],1.28
07.08.2024,Ananth Mani M.,0,,,,,,"['4', '2']","['2', '3']",[],[],[],3.43
31.07.2024,Aggarwal P.,2,,,,,,"['5', '3']","['1', '0', '2', '1', '5', '2']","['2', '1', '4', '3']",[],[],1.67
31.07.2024,Jaisinghani R.,1,,,,,,"['4', '5']","['1', '1']","['2', '2']",[],[],2.11
24.07.2024,Salvestre D.,2,,,,,,"['2', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.19
24.07.2024,Jaisinghani R.,0,,,,,,[],[],[],[],[],4.30
25.10.2023,Javia D.,2,,,,,,[],[],[],[],[],1.93
25.10.2023,Jaisinghani R.,0,,,,,,[],[],[],[],[],1.78
12.10.2023,Rawat S.,2,,,,,,[],[],[],[],[],1.08
12.10.2023,Jaisinghani R.,0,,,,,,[],[],[],[],[],6.60
11.10.2023,Jaisinghani R.,2,,,,,,[],[],[],[],[],4.28
11.10.2023,Agarwal R.,1,,,,,,[],[],[],[],[],1.19
10.10.2023,Jaisinghani R.,2,,,,,,[],[],[],[],[],1.63
10.10.2023,Kalyanpur A.,0,,,,,,[],[],[],[],[],2.17
28.06.2023,Kumaran B. N.,2,,,,,,[],[],[],[],[],1.88
28.06.2023,Jaisinghani R.,0,,,,,,[],[],[],[],[],1.83
