Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,448/288,282/159,60/53,95/60,9/11,2/5
2024,2/3,1/1,-,-,1/2,-
2023,5/8,1/2,0/2,4/3,0/1,-
2022,11/16,7/9,1/3,3/4,-,-
2021,6/11,3/4,2/5,1/2,-,-
2020,15/14,7/4,3/6,5/4,-,-
2019,36/32,15/10,7/7,11/10,3/3,0/2
2018,36/28,17/10,8/9,8/6,3/3,-
2017,46/28,16/16,4/4,26/8,-,-
2016,31/9,16/5,4/2,11/2,-,-
2015,20/10,16/8,4/1,0/1,-,-
2014,23/9,4/4,17/3,2/2,-,-
2013,0/3,0/2,-,-,-,0/1
2012,25/22,15/9,2/4,4/5,2/2,2/2
2011,54/15,47/12,-,7/3,-,-
2010,31/16,29/13,-,2/3,-,-
2009,6/11,6/10,0/1,-,-,-
2008,51/23,45/19,4/3,2/1,-,-
2007,20/14,11/7,2/2,7/5,-,-
2006,11/5,11/5,-,-,-,-
2005,19/9,15/7,2/1,2/1,-,-
2004,0/1,0/1,-,-,-,-
2003,0/1,0/1,-,-,-,-
