Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,318/233,132/103,126/76,30/31,23/13,7/10
2024,21/19,5/8,7/9,-,9/2,-
2023,28/34,7/12,6/11,7/5,5/4,3/2
2022,37/26,14/11,15/8,2/4,6/1,0/2
2021,32/23,25/15,6/5,1/2,0/1,-
2020,17/9,14/5,3/2,0/2,-,-
2019,38/29,22/16,8/6,6/5,0/1,2/1
2018,25/27,13/11,10/10,1/4,-,1/2
2017,25/30,11/10,9/13,4/5,0/1,1/1
2016,47/22,16/8,25/8,3/2,3/3,0/1
2015,31/8,4/2,21/3,6/2,-,0/1
2014,17/4,1/3,16/1,-,-,-
2013,0/2,0/2,-,-,-,-
