Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,16/36,8/19,6/12,1/1,-,1/4
2024,9/23,7/14,2/6,-,-,0/3
2023,5/11,0/3,4/6,1/1,-,0/1
2022,2/2,1/2,-,-,-,1/0
