Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.08.,Dominko S.,2,,,,,,[],"['1', '0', '4', '1', '6', '1']","['3', '1']",[],[],1.14
20.08.,Kriznik M.,1,,,,,,"['3', '2', '6', '3']",[],"['3', '4']",[],[],4.95
09.07.,Sakellaridis D.,2,,,,,,"['4', '2', '5', '3']","['3', '2', '5', '2']",[],[],[],1.45
09.07.,Kriznik M.,0,,,,,,"['3', '4']","['3', '5']",[],[],[],2.59
23.10.2024,Picchione A.,2,,,,,,"['3', '2', '4', '3']","['1', '1', '3', '1', '5', '1']",[],[],[],1.12
23.10.2024,Kriznik M.,0,,,,,,"['3', '3', '4', '4']","['1', '0']",[],[],[],5.58
16.10.2024,Sabanin Y.,2,,,,,,"['2', '1', '6', '3']","['2', '0', '5', '1']",[],[],[],2.32
16.10.2024,Kriznik M.,0,,,,,,[],[],[],[],[],1.55
03.09.2024,Martin Manzano J. C.,2,,,,,,"['4', '2', '6', '2']","['3', '1', '5', '1']",[],[],[],1.42
03.09.2024,Kriznik M.,0,,,,,,[],[],[],[],[],2.72
29.08.2024,Fajta P.,2,,,,,,"['3', '1']","['2', '1', '4', '1']",[],[],[],1.04
29.08.2024,Kriznik M.,0,,,,,,[],[],[],[],[],8.90
28.08.2024,Kriznik M.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0']",[],[],[],1.42
28.08.2024,Agostini S.,0,,,,,,"['1', '5']","['4', '4']",[],[],[],2.72
20.08.2024,Poljak D.,2,,,,,,"['3', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.34
20.08.2024,Kriznik M.,0,,,,,,"['3', '4']",[],[],[],[],3.08
14.08.2024,Rola B.,2,,,,,,"['2', '0', '4', '0', '5', '1']","['1', '0', '6', '5']",[],[],[],1.07
14.08.2024,Kriznik M.,0,,,,,,"['1', '4']","['2', '2']",[],[],[],7.39
20.06.2024,Bugarikj B.,2,,,,,,"['2', '0', '5', '3']","['1', '0', '3', '2', '5', '2', '6', '3']",[],[],[],2.18
20.06.2024,Kriznik M.,0,,,,,,"['3', '4']","['1', '1', '3', '5']",[],[],[],1.65
03.02.2024,Zhou Y.,2,,,,,,"['4', '4', '5', '5']","['2', '0', '5', '1']","['3', '2', '6', '3']",[],[],1.71
03.02.2024,Kriznik M.,1,,,,,,"['3', '2', '5', '4', '6', '5']",[],[],[],[],2.08
02.02.2024,Zhang Z.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '5', '2']",[],[],[],1.01
02.02.2024,Kriznik M.,0,,,,,,[],[],[],[],[],26.00
14.12.2023,Knaff A.,2,,,,,,[],[],[],[],[],1.14
14.12.2023,Kriznik M.,0,,,,,,[],[],[],[],[],5.00
13.12.2023,Kriznik M.,2,,,,,,[],[],[],[],[],2.17
13.12.2023,Steiner M.,0,,,,,,[],[],[],[],[],1.63
06.12.2023,Bertola R.,2,,,,,,[],[],[],[],[],1.10
06.12.2023,Kriznik M.,0,,,,,,[],[],[],[],[],6.06
