Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,48/51,3/4,32/36,-,-,13/11
2024,5/9,1/3,1/3,-,-,3/3
2023,16/19,2/1,6/11,-,-,8/7
2022,5/6,-,5/6,-,-,-
2016,9/9,-,7/8,-,-,2/1
2015,6/2,-,6/2,-,-,-
2014,2/3,-,2/3,-,-,-
2013,5/3,-,5/3,-,-,-
