Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,535/461,276/230,178/151,47/55,17/19,17/6
2024,36/30,16/20,20/8,-,0/2,-
2023,38/40,29/26,9/8,0/3,0/3,-
2022,59/32,37/19,7/8,4/4,-,11/1
2021,25/23,17/14,5/4,3/4,0/1,-
2020,2/6,2/3,0/3,-,-,-
2019,20/39,4/13,13/18,2/2,0/3,1/3
2018,42/29,13/8,15/13,6/5,8/3,-
2017,36/32,9/13,16/15,7/3,0/1,4/0
2016,50/27,36/12,9/8,5/7,-,-
2015,37/24,15/9,10/8,9/5,3/2,-
2014,17/26,8/13,6/7,2/4,-,1/2
2013,29/22,11/8,16/10,1/3,1/1,-
2012,30/26,17/13,12/9,1/4,-,-
2011,23/30,9/14,9/10,3/5,2/1,-
2010,18/24,10/15,7/7,1/2,-,-
2009,38/28,11/11,21/13,3/2,3/2,-
2008,35/19,32/16,3/2,0/1,-,-
2007,0/4,0/3,-,0/1,-,-
