Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,52/95,1/11,27/34,21/45,-,3/5
2024,13/20,0/4,12/13,-,-,1/3
2023,29/42,0/1,13/12,14/27,-,2/2
2022,7/23,1/5,1/5,5/13,-,-
2021,1/5,0/1,1/4,-,-,-
2020,2/5,-,-,2/5,-,-
