Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,329/213,231/142,70/48,19/17,-,9/6
2024,16/5,12/4,0/1,-,-,4/0
2023,5/12,3/7,1/3,1/1,-,0/1
2022,25/16,15/9,8/5,-,-,2/2
2021,34/18,28/15,6/3,-,-,-
2020,8/7,8/7,-,-,-,-
2019,30/11,23/10,-,7/1,-,-
2018,7/3,7/3,-,-,-,-
2017,1/1,1/1,-,-,-,-
2016,23/12,7/5,16/7,-,-,-
2015,10/12,9/10,-,-,-,1/2
2014,37/22,29/14,5/3,3/5,-,-
2013,18/22,10/16,-,7/6,-,1/0
2012,30/16,26/11,2/2,1/3,-,1/0
2011,32/16,23/8,9/7,0/1,-,-
2010,21/13,15/8,6/5,-,-,-
2009,15/9,13/8,2/1,-,-,-
2008,7/12,2/4,5/7,-,-,0/1
2007,10/6,0/2,10/4,-,-,-
