Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,91/67,7/8,67/50,11/5,-,6/4
2024,8/10,0/3,8/7,-,-,-
2023,13/11,-,6/6,2/2,-,5/3
2022,10/8,1/1,8/6,-,-,1/1
2021,25/15,-,19/13,6/2,-,-
2020,5/6,-,5/6,-,-,-
2019,17/8,-,14/7,3/1,-,-
2018,9/5,3/2,6/3,-,-,-
2017,0/1,-,0/1,-,-,-
2016,1/2,0/1,1/1,-,-,-
2015,3/1,3/1,-,-,-,-
