Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,37/34,-,37/34,-,-,-
2024,17/17,-,17/17,-,-,-
2023,13/10,-,13/10,-,-,-
2022,6/5,-,6/5,-,-,-
2021,1/2,-,1/2,-,-,-
