Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,311/145,126/58,158/64,17/11,6/10,4/2
2024,34/23,14/7,20/12,-,0/3,0/1
2023,38/26,8/6,20/11,5/4,3/4,2/1
2022,49/26,27/13,7/5,10/5,3/3,2/0
2021,52/21,46/17,6/4,-,-,-
2020,44/8,2/3,42/5,-,-,-
2019,19/6,4/2,15/4,-,-,-
2018,27/7,13/1,12/4,2/2,-,-
2017,20/5,3/2,17/3,-,-,-
2016,8/4,4/1,4/3,-,-,-
2015,10/6,4/4,6/2,-,-,-
2014,8/6,1/1,7/5,-,-,-
2013,2/6,0/1,2/5,-,-,-
2012,0/1,-,0/1,-,-,-
