Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,178/135,20/17,146/104,-,6/6,6/8
2024,25/24,3/5,21/15,-,1/2,0/2
2023,33/29,4/2,23/23,-,5/2,1/2
2022,42/25,-,38/23,-,-,4/2
2021,22/19,-,22/19,-,-,-
2020,13/9,2/3,11/5,-,-,0/1
2019,12/16,3/2,8/11,-,0/2,1/1
2018,30/12,7/4,23/8,-,-,-
2013,1/1,1/1,-,-,-,-
