Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,67/52,48/36,19/16,-,-,-
2024,11/10,6/7,5/3,-,-,-
2023,34/26,28/18,6/8,-,-,-
2022,13/11,9/9,4/2,-,-,-
2021,9/5,5/2,4/3,-,-,-
