Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,56/72,13/20,42/50,-,0/1,1/1
2024,0/3,-,0/3,-,-,-
2023,11/17,2/3,8/13,-,-,1/1
2022,20/21,6/9,14/12,-,-,-
2021,8/11,-,8/11,-,-,-
2019,13/14,5/5,8/9,-,-,-
2018,4/6,0/3,4/2,-,0/1,-
