Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,274/221,25/15,233/182,16/24,-,-
2024,22/20,-,18/18,4/2,-,-
2023,37/31,-,33/28,4/3,-,-
2022,17/22,-,17/21,0/1,-,-
2021,19/23,-,18/21,1/2,-,-
2020,4/3,-,1/1,3/2,-,-
2019,29/29,1/2,27/23,1/4,-,-
2018,23/27,3/2,19/23,1/2,-,-
2017,45/27,6/3,39/21,0/3,-,-
2016,61/27,7/4,52/20,2/3,-,-
2015,16/8,8/4,8/4,-,-,-
2014,1/3,-,1/2,0/1,-,-
2013,0/1,-,-,0/1,-,-
