Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,204/182,151/129,53/53,-,-,-
2024,25/24,25/24,-,-,-,-
2023,35/25,33/22,2/3,-,-,-
2022,26/21,17/11,9/10,-,-,-
2021,9/4,9/4,-,-,-,-
2019,0/2,0/1,0/1,-,-,-
2018,35/26,11/10,24/16,-,-,-
2017,7/16,7/12,0/4,-,-,-
2016,28/21,19/14,9/7,-,-,-
2015,16/20,12/13,4/7,-,-,-
2014,10/6,5/3,5/3,-,-,-
2013,11/13,11/12,0/1,-,-,-
2012,0/1,0/1,-,-,-,-
2011,0/1,0/1,-,-,-,-
2010,2/1,2/1,-,-,-,-
2009,0/1,-,0/1,-,-,-
