Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,67/92,35/68,24/21,-,-,8/3
2024,3/5,3/3,-,-,-,0/2
2023,10/14,6/11,2/2,-,-,2/1
2022,0/6,0/4,0/2,-,-,-
2021,6/8,3/8,-,-,-,3/0
2020,2/6,2/6,-,-,-,-
2019,10/11,1/4,9/7,-,-,-
2018,19/9,9/4,10/5,-,-,-
2017,6/6,3/6,-,-,-,3/0
2016,2/4,1/2,1/2,-,-,-
2015,2/4,1/2,1/2,-,-,-
2014,3/9,3/9,-,-,-,-
2012,1/2,1/2,-,-,-,-
2011,2/3,1/2,1/1,-,-,-
2010,1/4,1/4,-,-,-,-
2009,0/1,0/1,-,-,-,-
