Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,597/479,114/120,368/274,51/41,63/43,1/1
2024,26/26,0/2,21/19,2/1,2/4,1/0
2023,78/27,4/4,44/17,22/3,8/3,-
2022,18/12,2/4,12/6,-,4/2,-
2021,17/24,2/5,4/13,2/3,9/3,-
2020,11/12,1/3,7/7,0/1,3/1,-
2019,37/32,0/5,30/19,4/5,3/3,-
2018,37/32,0/2,32/23,3/3,2/4,-
2017,38/31,4/3,26/21,2/2,6/5,-
2016,34/28,3/6,30/20,-,1/1,0/1
2015,19/18,1/2,16/15,-,2/1,-
2014,26/30,2/4,14/18,1/2,9/6,-
2013,34/27,6/9,23/16,1/1,4/1,-
2012,35/24,8/7,23/14,1/2,3/1,-
2011,23/25,5/9,10/12,2/1,6/3,-
2010,27/26,9/8,17/14,-,1/4,-
2009,39/30,21/12,15/13,3/4,0/1,-
2008,19/28,8/10,11/13,0/5,-,-
2007,21/19,9/11,6/5,6/3,-,-
2006,30/10,15/3,14/5,1/2,-,-
2005,17/11,5/6,11/3,1/2,-,-
2004,11/7,9/5,2/1,0/1,-,-
