Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,39/16,32/15,2/1,-,-,5/0
2024,27/6,27/6,-,-,-,-
2023,10/7,3/6,2/1,-,-,5/0
2022,1/1,1/1,-,-,-,-
2021,1/2,1/2,-,-,-,-
