Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,8/9,8/9,-,-,-,-
2024,6/7,6/7,-,-,-,-
2023,1/1,1/1,-,-,-,-
2022,1/1,1/1,-,-,-,-
