Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
29.07.,Marti Pujolras A.,2,,,,,,"['2', '3', '3', '4']","['2', '0', '4', '0', '6', '0']","['3', '1', '5', '1']",[],[],1.30
29.07.,Turcanu R. D.,1,,,,,,"['3', '1', '4', '2']",[],[],[],[],3.30
24.07.,Papoe R. M.,2,,,,,,"['4', '3']","['3', '2']",[],[],[],1.20
24.07.,Turcanu R. D.,0,,,,,,[],[],[],[],[],4.09
23.07.,Turcanu R. D.,2,,,,,,"['4', '3']","['2', '1', '5', '4']",[],[],[],1.17
23.07.,Vasiliauskas M.,0,,,,,,[],"['2', '2']",[],[],[],4.53
29.06.,Tomescu D. A.,2,,,,,,4,0,68%,83% (25/30),64% (9/14),0% (0/0),43% (12/28),55% (16/29),50% (4/8),77% (34/44),49% (28/57),61% (62/101),5,0,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '4', '1', '6', '1']","['3', '1']",[],[],[],1.43
29.06.,Turcanu R. D.,0,,,,,,1,4,49%,57% (16/28),45% (13/29),50% (4/8),17% (5/30),36% (5/14),0% (0/0),51% (29/57),23% (10/44),39% (39/101),5,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.70
23.06.,Corwin F.,2,,,,,,"['2', '0', '4', '2', '6', '4']","['2', '0', '3', '1']",[],[],[],2.20
23.06.,Turcanu R. D.,0,,,,,,"['2', '3', '3', '4']","['1', '2']",[],[],[],1.61
19.06.,Schiessl J. E.,2,,,,,,"['3', '2', '5', '2']","['4', '3', '6', '3']",[],[],[],1.79
19.06.,Turcanu R. D.,0,,,,,,[],[],[],[],[],1.91
18.06.,Turcanu R. D.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],1.07
18.06.,Thurner D.,0,,,,,,[],[],[],[],[],6.90
15.06.,Ghetu G.,2,,,,,,"['2', '2']","['2', '2', '6', '4']","['2', '0', '4', '2']",[],[],1.84
15.06.,Turcanu R. D.,1,,,,,,"['2', '1', '3', '2', '5', '2']","['1', '0']","['1', '2']",[],[],1.86
14.06.,Turcanu R. D.,2,,,,,,"['1', '0', '4', '1']",[],"['3', '3', '5', '3']",[],[],2.37
14.06.,Tomescu D. A.,1,,,,,,[],"['3', '1']","['1', '0']",[],[],1.53
13.06.,Turcanu R. D.,2,,,,,,"['1', '0', '2', '1']",[],"['4', '2', '6', '4']",[],[],2.50
13.06.,Andreescu S. A.,1,,,,,,"['1', '1', '2', '2']","['1', '0', '5', '2']","['3', '4']",[],[],1.48
12.06.,Turcanu R. D.,2,,,,,,"['1', '0', '3', '0', '5', '0', '6', '1']","['4', '2', '6', '2']",[],[],[],1.30
12.06.,Villoslada E.,0,,,,,,"['1', '5']",[],[],[],[],3.30
11.06.,Turcanu R. D.,2,,,,,,"['3', '4']","['6', '5']","['5', '3']",[],[],3.91
11.06.,Cretu C.,1,,,,,,"['3', '1', '6', '4']","['6', '6']",[],[],[],1.22
29.05.,Boitan G. A.,2,,,,,,"['3', '2', '6', '3']",[],"['2', '2', '6', '6']",[],[],1.17
29.05.,Turcanu R. D.,1,,,,,,[],"['1', '0', '5', '2']","['2', '1', '6', '5']",[],[],4.52
27.05.,Turcanu R. D.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '2', '1', '6', '3']",[],[],[],2.56
27.05.,Palosi S.,0,,,,,,"['1', '5']","['1', '1']",[],[],[],1.46
22.05.,Andreescu S. A.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['2', '0', '4', '0']",[],[],[],1.49
22.05.,Turcanu R. D.,0,,,,,,"['2', '1']",[],[],[],[],2.47
21.05.,Turcanu R. D.,2,,,,,,"['3', '2', '5', '4']","['2', '1', '4', '5']","['2', '0', '4', '4', '6', '4']",[],[],1.99
21.05.,Van Der Meerschen M.,1,,,,,,"['4', '4']","['2', '2', '4', '2']","['2', '3', '4', '3']",[],[],1.73
17.05.,Boitan G. A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['3', '1']",[],[],[],1.17
17.05.,Turcanu R. D.,0,,,,,,[],[],[],[],[],4.48
16.05.,Turcanu R. D.,2,,,,,,"['2', '0', '4', '0']","['1', '2', '3', '2', '5', '4']","['2', '0', '4', '0']",[],[],2.88
16.05.,Andreescu S. A.,1,,,,,,[],"['2', '0', '4', '4', '5', '5']",[],[],[],1.37
15.05.,Turcanu R. D.,2,,,,,,"['1', '3', '2', '4', '4', '4', '6', '4']","['2', '2']","['3', '1', '6', '2']",[],[],6.65
15.05.,Cretu C.,1,,,,,,"['1', '0', '3', '0', '4', '1']","['1', '0', '3', '2', '5', '2']",[],[],[],1.07
14.05.,Turcanu R. D.,2,,,,,,"['3', '4']","['3', '1', '5', '1']","['2', '1', '4', '1']",[],[],1.11
14.05.,Uta D.,1,,,,,,"['2', '0', '5', '3']",[],[],[],[],5.45
08.05.,Schoenhaus M.,2,,,,,,"['3', '1', '5', '1']",[],"['2', '0']",[],[],1.63
08.05.,Turcanu R. D.,1,,,,,,[],"['5', '3']",[],[],[],2.16
07.05.,Turcanu R. D.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '2', '1', '4', '1']",[],[],[],1.90
07.05.,Schifris J.,0,,,,,,[],"['1', '1']",[],[],[],1.80
