Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,19/18,10/8,9/7,0/3,-,-
2024,15/13,10/7,5/5,0/1,-,-
2023,4/5,0/1,4/2,0/2,-,-
