Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,37/25,26/17,11/8,-,-,-
2024,12/8,3/3,9/5,-,-,-
2023,21/14,20/12,1/2,-,-,-
2022,4/3,3/2,1/1,-,-,-
