Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,624/459,82/85,251/176,238/142,35/41,18/15
2024,8/17,0/1,6/10,2/4,0/2,-
2023,42/22,6/6,17/5,18/10,1/1,-
2022,21/25,3/4,8/10,8/9,1/2,1/0
2021,37/28,2/5,5/7,24/11,4/4,2/1
2020,15/14,0/2,0/3,14/8,-,1/1
2019,31/21,2/3,13/9,15/6,1/1,0/2
2018,10/13,0/1,5/7,5/1,0/3,0/1
2017,23/20,-,8/9,8/6,5/5,2/0
2016,27/29,2/4,20/12,4/8,0/3,1/2
2015,53/26,3/1,12/10,30/12,6/3,2/0
2014,42/29,4/6,25/15,9/5,2/2,2/1
2013,36/30,4/5,15/11,13/10,3/4,1/0
2012,53/23,-,19/9,26/11,5/3,3/0
2011,14/26,2/6,6/8,3/5,3/4,0/3
2010,36/28,3/5,17/12,12/8,3/2,1/1
2009,50/29,2/5,19/10,27/9,1/2,1/3
2008,42/27,9/6,25/13,7/8,-,1/0
2007,31/25,7/10,15/9,9/6,-,-
2006,38/14,22/8,14/4,2/2,-,-
2005,11/8,10/6,1/1,0/1,-,-
2004,3/4,1/1,1/2,1/1,-,-
2003,1/1,-,-,1/1,-,-
