Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
14.09.2023,Merida Aguilar D.,2,,,,,,"['5', '3']","['4', '3', '6', '3']",[],[],[],1.53
14.09.2023,Haerteis J.,0,,,,,,[],[],[],[],[],2.38
13.09.2023,Haerteis J.,2,,,,,,"['3', '2']","['4', '3', '6', '5']",[],[],[],1.10
13.09.2023,Maginley J.,0,,,,,,[],"['5', '5']",[],[],[],6.06
03.09.2023,Broom C.,2,,,,,,14,0,70%,78% (39/50),52% (11/21),50% (1/2),43% (23/53),40% (12/30),22% (2/9),70% (50/71),42% (35/83),55% (85/154),91% (10/11),20% (2/10),57% (12/21),"['4', '2']","['3', '4']",[],[],[],1.34
03.09.2023,Haerteis J.,0,,,,,,3,2,64%,57% (30/53),60% (18/30),78% (7/9),22% (11/50),48% (10/21),50% (1/2),58% (48/83),30% (21/71),45% (69/154),80% (8/10),9% (1/11),43% (9/21),[],"['2', '0']",[],[],[],3.09
31.08.2023,Kuhn N.,2,,,,,,"['2', '3', '6', '5']","['3', '2', '4', '3', '6', '3']",[],[],[],1.06
31.08.2023,Haerteis J.,0,,,,,,"['2', '0']","['3', '3']",[],[],[],7.95
30.08.2023,Haerteis J.,2,,,,,,[],"['2', '0', '4', '0']","['2', '3', '5', '4']",[],[],1.02
30.08.2023,Hesselmann L.,1,,,,,,"['1', '0', '5', '2']",[],"['2', '0']",[],[],11.10
11.08.2023,Gerch L.,2,,,,,,"['1', '0', '3', '4', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],1.37
11.08.2023,Haerteis J.,0,,,,,,"['1', '1', '3', '1']",[],[],[],[],2.91
10.08.2023,Haerteis J.,2,,,,,,"['1', '1', '5', '3']","['2', '0', '4', '2', '6', '4']","['3', '1', '6', '2']",[],[],1.88
10.08.2023,Lemstra K.,1,,,,,,"['1', '0', '4', '5', '6', '5']","['2', '3', '3', '4']",[],[],[],1.83
08.08.2023,Haerteis J.,1,,,,,,"['6', '6']","['1', '0', '4', '1']",[],[],[],2.10
08.08.2023,Rosenkranz M.,0,,,,,,"['6', '5']",[],[],[],[],1.67
01.08.2023,Nava E.,2,,,,,,8,2,67%,75% (41/55),56% (15/27),50% (2/4),39% (25/64),45% (14/31),25% (2/8),68% (56/82),41% (39/95),54% (95/177),83% (10/12),17% (2/12),50% (12/24),"['4', '5']","['6', '6']",[],[],[],1.14
01.08.2023,Haerteis J.,0,,,,,,0,3,67%,61% (39/64),55% (17/31),75% (6/8),25% (14/55),44% (12/27),50% (2/4),59% (56/95),32% (26/82),46% (82/177),83% (10/12),17% (2/12),50% (12/24),"['5', '3']","['6', '5']",[],[],[],5.23
31.07.2023,Haerteis J.,2,,,,,,4,2,72%,62% (34/55),67% (14/21),71% (5/7),41% (23/56),54% (13/24),57% (4/7),63% (48/76),45% (36/80),54% (84/156),83% (10/12),33% (4/12),58% (14/24),"['5', '5', '7', '5']","['2', '0', '7', '5']",[],[],[],1.23
31.07.2023,Maia H.,0,,,,,,0,3,70%,59% (33/56),46% (11/24),43% (3/7),38% (21/55),33% (7/21),29% (2/7),55% (44/80),37% (28/76),46% (72/156),67% (8/12),17% (2/12),42% (10/24),"['2', '1']","['4', '5']",[],[],[],3.92
30.07.2023,Haerteis J.,2,,,,,,2,4,65%,64% (37/58),55% (17/31),67% (6/9),30% (15/50),58% (14/24),50% (4/8),61% (54/89),39% (29/74),51% (83/163),77% (10/13),31% (4/13),54% (14/26),"['4', '2', '6', '4']",[],"['4', '2', '6', '2']",[],[],2.32
30.07.2023,Lilov V.,1,,,,,,4,0,68%,70% (35/50),42% (10/24),50% (4/8),36% (21/58),45% (14/31),33% (3/9),61% (45/74),39% (35/89),49% (80/163),69% (9/13),23% (3/13),46% (12/26),"['3', '4']","['1', '0', '4', '1']",[],[],[],1.57
22.06.2023,Boitan G. A.,2,,,,,,[],[],[],[],[],1.31
22.06.2023,Haerteis J.,0,,,,,,[],[],[],[],[],3.22
21.06.2023,Haerteis J.,2,,,,,,[],[],[],[],[],1.76
21.06.2023,Tomescu D. A.,0,,,,,,[],[],[],[],[],1.95
20.06.2023,Haerteis J.,2,,,,,,[],[],[],[],[],1.18
20.06.2023,Coman M. A.,0,,,,,,[],[],[],[],[],4.43
07.05.2023,Sachko V.,2,,,,,,9,2,69%,83% (40/48),59% (13/22),50% (2/4),46% (28/61),43% (15/35),29% (5/17),76% (53/70),45% (43/96),58% (96/166),86% (12/14),38% (5/13),63% (17/27),"['5', '5']","['2', '0', '6', '2']","['3', '1', '5', '1']",[],[],1.19
07.05.2023,Haerteis J.,1,,,,,,6,2,64%,54% (33/61),57% (20/35),71% (12/17),17% (8/48),41% (9/22),50% (2/4),55% (53/96),24% (17/70),42% (70/166),62% (8/13),14% (2/14),37% (10/27),"['5', '4', '6', '5']",[],[],[],[],4.36
28.04.2023,Strombachs R.,2,,,,,,"['4', '2']","['3', '2']",[],[],[],1.43
