Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,13/12,-,13/12,-,-,-
2024,6/3,-,6/3,-,-,-
2023,4/6,-,4/6,-,-,-
2022,3/3,-,3/3,-,-,-
