Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.05.,Ferrer M. X.,2,,,,,,"['6', '5']",[],"['3', '1', '5', '1']",[],[],-
27.05.,Sau Franco A.,1,,,,,,[],"['3', '1', '5', '1']","['2', '5']",[],[],-
08.05.,Summers M.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '2', '1', '5', '2']",[],[],[],1.31
08.05.,Sau Franco A.,0,,,,,,[],"['1', '1']",[],[],[],3.20
07.05.,Sau Franco A.,2,,,,,,"['1', '0', '6', '5']","['1', '2', '3', '2', '4', '3', '6', '3']",[],[],[],5.25
07.05.,Moraing O.,0,,,,,,"['5', '5']","['2', '0', '3', '3']",[],[],[],1.12
23.04.,Curras Abasolo T.,2,,,,,,"['1', '1', '3', '1', '6', '2']","['2', '0', '6', '2']",[],[],[],1.10
23.04.,Sau Franco A.,0,,,,,,"['1', '0']",[],[],[],[],5.80
20.11.2024,Chen C.,2,,,,,,"['2', '0', '4', '0']","['1', '2', '3', '4', '5', '4']","['5', '3']",[],[],1.71
20.11.2024,Sau Franco A.,1,,,,,,[],"['2', '0', '3', '1', '5', '5']",[],[],[],2.01
16.10.2024,Manzanera Pertusa A.,2,,,,,,"['3', '3']","['5', '3']","['1', '0', '3', '0', '6', '1']",[],[],-
16.10.2024,Sau Franco A.,1,,,,,,"['2', '1', '6', '5']",[],[],[],[],-
10.10.2024,Dzhavakian Y.,2,,,,,,"['3', '3', '7', '5']","['3', '1', '5', '1']",[],[],[],-
10.10.2024,Sau Franco A.,0,,,,,,"['2', '1']",[],[],[],[],-
09.10.2024,Sau Franco A.,2,,,,,,"['2', '0', '5', '1']","['1', '2', '6', '5']",[],[],[],-
09.10.2024,Ryzhankou D.,0,,,,,,[],"['2', '0']",[],[],[],-
31.07.2024,Sau Franco A.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '2', '4', '3', '6', '3']",[],[],[],1.29
31.07.2024,Valdez Guzon J. P.,0,,,,,,[],"['2', '0']",[],[],[],3.37
24.07.2024,Rodriguez J. A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['3', '1', '5', '1']",[],[],[],1.23
24.07.2024,Sau Franco A.,0,,,,,,[],[],[],[],[],3.86
27.12.2023,Sueoka Y.,2,,,,,,[],[],[],[],[],1.37
27.12.2023,Sau Franco A.,1,,,,,,[],[],[],[],[],2.91
23.05.2023,Mena F.,2,,,,,,[],[],[],[],[],1.06
23.05.2023,Sau Franco A.,1,,,,,,[],[],[],[],[],7.70
26.05.2022,Zeballos F.,2,,,,,,[],[],[],[],[],1.47
26.05.2022,Sau Franco A.,0,,,,,,[],[],[],[],[],2.64
24.05.2022,Sau Franco A.,2,,,,,,[],[],[],[],[],3.74
24.05.2022,Ehara H.,1,,,,,,[],[],[],[],[],1.26
18.05.2022,Ehara H.,2,,,,,,[],[],[],[],[],1.41
18.05.2022,Sau Franco A.,0,,,,,,[],[],[],[],[],2.76
30.07.2017,Halys Q.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],[],1.01
30.07.2017,Sau Franco A.,0,,,,,,[],[],[],[],[],24.00
