Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,40/34,8/11,32/23,-,-,-
2024,14/13,8/6,6/7,-,-,-
2023,20/16,0/3,20/13,-,-,-
2022,6/3,-,6/3,-,-,-
2021,0/2,0/2,-,-,-,-
