Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,141/105,92/60,38/34,11/6,0/5,-
2024,22/22,18/13,3/7,1/1,0/1,-
2023,50/30,31/18,19/7,0/2,0/3,-
2022,47/29,31/16,6/10,10/3,-,-
2021,18/18,9/9,9/8,-,0/1,-
2020,4/5,3/3,1/2,-,-,-
2019,0/1,0/1,-,-,-,-
