Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,493/305,31/32,350/203,51/37,41/27,20/6
2024,17/8,-,17/7,-,0/1,-
2022,32/20,2/3,22/11,0/1,5/4,3/1
2021,10/14,6/5,4/9,-,-,-
2020,11/6,-,7/6,-,-,4/0
2019,24/20,4/6,17/12,-,3/2,-
2018,46/23,6/6,38/14,2/2,0/1,-
2017,35/22,9/5,25/16,-,1/1,-
2016,42/20,1/2,37/17,-,0/1,4/0
2015,39/29,3/3,29/21,-,4/4,3/1
2014,47/14,-,37/11,1/1,6/1,3/1
2013,22/17,0/1,16/12,3/3,-,3/1
2012,38/21,-,33/12,0/4,5/3,0/2
2011,27/22,-,15/15,11/5,1/2,-
2010,39/21,-,16/10,16/9,7/2,-
2009,18/16,0/1,8/7,5/6,5/2,-
2008,20/16,-,3/7,13/6,4/3,-
2007,17/9,-,17/9,-,-,-
2006,9/7,-,9/7,-,-,-
