Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,35/41,3/12,25/23,7/6,-,-
2024,9/11,0/2,9/9,-,-,-
2023,18/21,3/5,14/13,1/3,-,-
2022,8/8,0/5,2/1,6/2,-,-
2021,0/1,-,-,0/1,-,-
